date,url,title,source
2026-01-20,https://hamusoku.com/archives/10961139.html,大阪市教育委員会「首絞めいじめ動画は昨年11月に確認してました！SNSで動画が拡散されたので第三者委員会を設置して調査開始するで～！」,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961124.html,【埼玉県クルド川口市長選】公開討論会で「ルールの厳格化」「共生は不可能」「移民政策は失敗」等の主張が飛び交う　日本共産党のみ「多文化共生を進める」と明言,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961032.html,ディズニーランド　開園ダッシュ勢ばかりのランニング会場になってて草,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961027.html,コメ卸売業者さん「新米が売れなさすぎて…大量の古米になってしまう」,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961024.html,【悲報】中国政府　ガチの無能だった　渡航自粛を無視されて中国人観光客が去年より５割増加する予定,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961001.html,大阪の海に突き落としたいじめ殺人未遂動画で思い出す高知県の下田川小学2年生溺死事件,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961014.html,【速報】米倉涼子　書類送検,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10961002.html,ハムスター寝顔選手権,ハムスター速報
2026-01-20,https://hamusoku.com/archives/10960995.html,【デスドル対策】学校の教師達　いじめ証拠動画を学校で撮影されない為に必死ｗｗｗｗｗｗｗｗｗｗ,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10957141.html,ワイ君ネット恋愛３年　北海道から福岡に会いに行く,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10960783.html,【中道改革連合】立憲・枝野幸男　脱原発政策を信じていた立憲民主党支持者をバカにする　『そうでしたっけ?フフフ』再び,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10957222.html,日本　ブルーカラー人員がいなくなりインフラの維持ができなくなる時代に,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10948458.html,ハロワで職探し、仕事が全く見つからない。,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10960728.html,大阪のいじめ殺人未遂事件動画　デスドルが削除要請により削除　こども家庭庁が動き出した可能性,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10960715.html,中道改革連合　中国共産党外交部からロゴをパクってしまうｗｗｗｗｗｗｗｗｗ,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10960707.html,【反社】メルカリで転売ヤーが神田明神の御守を出品しまくっている現状に神田明神が声明,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10960699.html,小学生の首を絞めて海に突き落とした殺人未遂犯が通う大阪市立堀江中学校　同じ大阪市内の中学校で去年はイジメによる自殺者を出していた事が判明　学校側は安定のスルー,ハムスター速報
2026-01-19,https://hamusoku.com/archives/10957046.html,キッザニア　リアル社会の縮図だったｗｗｗｗｗｗｗｗｗ,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960617.html,中道改革連合への比例投票９%という衝撃のデータ　維新や国民以下となり始まる前からオワコンに,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10959338.html,【悲報】個室サウナを数店舗経営しているワイ　詰む,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960303.html,時効になったと思う黒歴史言ってけ,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960551.html,【婚活】４０歳女性「２０代の頃はモテモテだったのに結婚できません」,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960512.html,【大阪】中学生による小学生へのいじめ殺人未遂事件　場所が特定される,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960495.html,【社会悪】LUUPさん　震災ビジネスを開始,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960259.html,大手企業に転職して月収も賞与も上がった件,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960472.html,クルド人がまた車で暴走して日本人が殺される　この事故で後輩を失った人のコメントが見つかる,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10960459.html,維新による国保逃れスキーム凄い「年間109万円かかるはずの健康保険料が4万円に」,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10956318.html,【立教大学】26卒やけど飲食しか内定なくて死にたい,ハムスター速報
2026-01-18,https://hamusoku.com/archives/10959894.html,【アメリカFTCが警告】無言電話　絶対に反応してはいけない,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960351.html,【大阪】中学生が小学生を羽交い締めにして海に突き落とす　いじめ殺人未遂事件動画がまたネットに投稿　殺人未遂犯の顔面が公開される,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960234.html,原発ゼロを主張していた立憲民主党議員達　原発再稼働賛成の中道改革連合に続々と参加へ,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960231.html,担当者「もうワイさんに案内できる仕事ないですよ…」←これ,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960304.html,【ハッピーエントリー】東京ディズニーランド　ホテル宿泊民が野宿してて草,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960266.html,アメリカの６０００円弁当の中身ｗｗｗｗｗｗｗｗｗｗ,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960227.html,年金←これどうにかならんの？,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960249.html,大阪の日本エコロジー「行政指導には応じない」釧路市内１４カ所でメガソーラーの建設再開へ,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960240.html,司法「警察が民間の駐車場に20分無断駐車したので4円払え」←コインパーキングいらない論が出てくる,ハムスター速報
2026-01-17,https://hamusoku.com/archives/10960235.html,こども家庭庁　いじめ加害者を人権侵害から守る為にSNSでのいじめ動画を迅速に削除要請すると発表,ハムスター速報
2026-01-16,https://alfalfalfa.com/articles/10989371.html,【悲報】最強・任天堂法務部さん、パルワールドに敗訴の見通しwwwwオワタwww,アルファルファモザイク
2026-01-16,https://hamusoku.com/archives/10960023.html,公明党・斉藤鉄夫「中道改革連合に入る立憲民主党議員は『安保法制合憲』『原発再稼働』これに賛同する人達です」←立憲信者　息してるか？,ハムスター速報
2026-01-16,https://hamusoku.com/archives/10960016.html,平塚八幡宮から神馬が脱走してパッカパッカ,ハムスター速報
2026-01-16,https://hamusoku.com/archives/10960008.html,【中道改革連合】立憲・野田代表と安住幹事長「失敗に終わったら政治家を辞める」政治家引退を宣言,ハムスター速報
2026-01-16,https://hamusoku.com/archives/10950694.html,葬儀屋５年勤務ワイ「次は納棺師でもやってみるか」,ハムスター速報
2026-01-16,https://hamusoku.com/archives/10959937.html,アメリカ人男性「日本人男性は俺のゲイの扉を開ける鍵を持ってて危なかった」,ハムスター速報
